frequency,weight,count,label
4,1.4184397163120568,282,0
6,2.127659574468085,282,0
4,1.4184397163120568,282,0
2,0.7092198581560284,282,0
2,0.7092198581560284,282,0
2,0.7092198581560284,282,0
6,2.127659574468085,282,0
4,1.4184397163120568,282,0
2,0.7092198581560284,282,0
6,2.127659574468085,282,0
6,2.127659574468085,282,0
2,0.7092198581560284,282,0
4,1.4184397163120568,282,0
8,2.8368794326241136,282,0
2,0.7092198581560284,282,0
2,0.7092198581560284,282,0
3,1.0638297872340425,282,0
2,0.7092198581560284,282,0
2,0.7092198581560284,282,0
3,1.0638297872340425,282,0
6,2.127659574468085,282,0
4,1.4184397163120568,282,0
7,4.320987654320987,162,0
3,1.8518518518518516,162,0
5,3.0864197530864197,162,0
7,4.320987654320987,162,0
2,1.2345679012345678,162,0
2,1.2345679012345678,162,0
2,1.2345679012345678,162,0
2,1.2345679012345678,162,0
2,1.2345679012345678,162,0
2,1.342281879194631,149,0
3,2.013422818791946,149,0
4,2.684563758389262,149,0
2,1.342281879194631,149,0
2,1.342281879194631,149,0
5,3.1645569620253164,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
3,1.89873417721519,158,0
4,2.5316455696202533,158,0
3,1.89873417721519,158,0
4,2.5316455696202533,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
4,2.5,160,0
2,1.25,160,0
3,1.875,160,0
4,2.5,160,0
2,1.25,160,0
8,5.0,160,0
4,2.5,160,0
3,1.875,160,0
2,1.25,160,0
2,1.25,160,0
2,1.25,160,0
4,2.5,160,0
2,1.25,160,0
2,1.25,160,0
4,2.5,160,0
4,2.5806451612903225,155,0
6,3.870967741935484,155,0
2,1.2903225806451613,155,0
8,5.161290322580645,155,0
4,2.5806451612903225,155,0
6,3.870967741935484,155,0
4,2.5806451612903225,155,0
2,1.2903225806451613,155,0
2,1.2903225806451613,155,0
6,4.166666666666666,144,0
6,4.166666666666666,144,0
9,6.25,144,0
8,5.555555555555555,144,0
3,2.083333333333333,144,0
6,4.166666666666666,144,0
5,3.4722222222222223,144,0
4,2.7777777777777777,144,0
2,1.3888888888888888,144,0
3,2.083333333333333,144,0
2,1.3888888888888888,144,0
6,4.0,150,0
5,3.3333333333333335,150,0
2,1.3333333333333335,150,0
5,3.3333333333333335,150,0
4,2.666666666666667,150,0
3,2.0,150,0
7,4.666666666666667,150,0
9,6.0,150,0
5,3.3333333333333335,150,0
2,1.3333333333333335,150,0
2,1.3333333333333335,150,0
2,1.3333333333333335,150,0
3,2.0,150,0
2,1.3333333333333335,150,0
4,2.666666666666667,150,0
2,1.3333333333333335,150,0
2,1.3333333333333335,150,0
8,5.063291139240507,158,0
8,5.063291139240507,158,0
17,10.759493670886076,158,1
12,7.59493670886076,158,0
8,5.063291139240507,158,0
14,8.860759493670885,158,0
8,5.063291139240507,158,0
8,5.063291139240507,158,0
2,1.2658227848101267,158,0
2,1.2658227848101267,158,0
2,1.3793103448275863,145,0
4,2.7586206896551726,145,0
3,2.0689655172413794,145,0
4,2.7586206896551726,145,0
2,1.3793103448275863,145,0
2,1.3793103448275863,145,0
3,2.0689655172413794,145,0
3,2.0689655172413794,145,0
2,1.1764705882352942,170,0
4,2.3529411764705883,170,0
3,1.7647058823529411,170,0
5,2.941176470588235,170,0
3,1.7647058823529411,170,0
6,3.5294117647058822,170,0
3,1.7647058823529411,170,0
5,2.941176470588235,170,0
5,2.941176470588235,170,0
6,4.026845637583892,149,0
5,3.3557046979865772,149,0
5,3.3557046979865772,149,0
5,3.3557046979865772,149,0
3,2.013422818791946,149,0
10,6.7114093959731544,149,0
10,6.7114093959731544,149,0
7,4.697986577181208,149,0
3,2.013422818791946,149,0
3,2.013422818791946,149,0
2,1.342281879194631,149,0
3,2.013422818791946,149,0
9,6.0402684563758395,149,0
6,4.026845637583892,149,0
4,2.684563758389262,149,0
6,4.026845637583892,149,0
9,6.0402684563758395,149,0
4,2.684563758389262,149,0
7,4.697986577181208,149,0
8,5.369127516778524,149,0
3,2.013422818791946,149,0
3,2.013422818791946,149,0
2,1.342281879194631,149,0
2,1.342281879194631,149,0
4,2.2988505747126435,174,0
2,1.1494252873563218,174,0
2,1.1494252873563218,174,0
2,1.1494252873563218,174,0
6,3.4482758620689653,174,0
2,1.1494252873563218,174,0
2,1.1494252873563218,174,0
2,1.1494252873563218,174,0
8,4.597701149425287,174,0
4,2.2988505747126435,174,0
2,1.1494252873563218,174,0
4,2.666666666666667,150,0
2,1.3333333333333335,150,0
6,2.803738317757009,214,0
6,2.803738317757009,214,0
2,0.9345794392523363,214,0
4,1.8691588785046727,214,0
6,2.803738317757009,214,0
2,0.9345794392523363,214,0
6,2.803738317757009,214,0
10,4.672897196261682,214,0
2,0.9345794392523363,214,0
4,1.8691588785046727,214,0
4,1.8691588785046727,214,0
2,0.9345794392523363,214,0
18,8.411214953271028,214,0
10,4.672897196261682,214,0
8,3.7383177570093453,214,0
2,0.9345794392523363,214,0
2,0.9345794392523363,214,0
6,2.803738317757009,214,0
4,1.8691588785046727,214,0
14,6.5420560747663545,214,0
2,0.9345794392523363,214,0
10,4.672897196261682,214,0
14,4.761904761904762,294,0
6,2.0408163265306123,294,0
18,6.122448979591836,294,0
6,2.0408163265306123,294,0
2,0.6802721088435374,294,0
2,0.6802721088435374,294,0
2,0.6802721088435374,294,0
4,1.3605442176870748,294,0
6,2.0408163265306123,294,0
10,3.4013605442176873,294,0
8,2.7210884353741496,294,0
18,6.122448979591836,294,0
12,4.081632653061225,294,0
4,1.3605442176870748,294,0
36,12.244897959183673,294,1
20,6.802721088435375,294,0
4,1.3605442176870748,294,0
2,0.6802721088435374,294,0
6,2.0408163265306123,294,0
30,10.204081632653061,294,1
2,0.5714285714285714,350,0
2,0.5714285714285714,350,0
2,0.5714285714285714,350,0
2,0.5714285714285714,350,0
2,0.5714285714285714,350,0
2,0.5714285714285714,350,0
2,0.6711409395973155,298,0
48,16.10738255033557,298,1
4,1.342281879194631,298,0
4,1.342281879194631,298,0
36,12.080536912751679,298,1
8,2.684563758389262,298,0
2,0.6711409395973155,298,0
2,0.6711409395973155,298,0
8,2.684563758389262,298,0
8,2.684563758389262,298,0
26,8.724832214765101,298,0
2,0.6711409395973155,298,0
12,4.026845637583892,298,0
6,2.013422818791946,298,0
14,4.697986577181208,298,0
2,0.6711409395973155,298,0
6,2.013422818791946,298,0
2,0.6711409395973155,298,0
6,2.013422818791946,298,0
2,0.6711409395973155,298,0
4,1.342281879194631,298,0
2,0.6711409395973155,298,0
8,2.684563758389262,298,0
22,10.2803738317757,214,1
32,14.953271028037381,214,1
30,14.018691588785046,214,1
16,7.476635514018691,214,0
16,7.476635514018691,214,0
12,5.607476635514018,214,0
2,0.9345794392523363,214,0
26,12.149532710280374,214,1
14,6.5420560747663545,214,0
2,0.9345794392523363,214,0
6,2.3622047244094486,254,0
4,1.574803149606299,254,0
4,1.574803149606299,254,0
10,3.937007874015748,254,0
6,2.3622047244094486,254,0
2,0.7874015748031495,254,0
2,0.7874015748031495,254,0
4,1.574803149606299,254,0
2,0.7874015748031495,254,0
2,0.7874015748031495,254,0
2,0.7874015748031495,254,0
4,1.574803149606299,254,0
12,4.724409448818897,254,0
8,3.149606299212598,254,0
4,1.574803149606299,254,0
4,1.574803149606299,254,0
8,3.149606299212598,254,0
2,0.7874015748031495,254,0
18,7.086614173228346,254,0
14,5.511811023622047,254,0
2,0.7874015748031495,254,0
4,1.574803149606299,254,0
2,0.7874015748031495,254,0
42,16.535433070866144,254,1
18,8.256880733944955,218,0
10,4.587155963302752,218,0
18,8.256880733944955,218,0
6,2.7522935779816518,218,0
4,1.834862385321101,218,0
4,1.834862385321101,218,0
2,0.9174311926605505,218,0
6,2.7522935779816518,218,0
6,2.7522935779816518,218,0
8,3.669724770642202,218,0
16,7.339449541284404,218,0
10,4.587155963302752,218,0
6,2.7522935779816518,218,0
2,0.9174311926605505,218,0
4,1.834862385321101,218,0
2,0.9174311926605505,218,0
2,0.9174311926605505,218,0
2,0.6369426751592357,314,0
2,0.6369426751592357,314,0
10,3.1847133757961785,314,0
12,3.821656050955414,314,0
20,6.369426751592357,314,0
2,0.6369426751592357,314,0
4,1.2738853503184715,314,0
78,24.840764331210192,314,1
4,1.2738853503184715,314,0
2,0.6369426751592357,314,0
6,1.910828025477707,314,0
4,1.2738853503184715,314,0
2,0.6369426751592357,314,0
2,0.6369426751592357,314,0
4,1.2738853503184715,314,0
4,1.2738853503184715,314,0
8,2.547770700636943,314,0
2,0.6369426751592357,314,0
10,3.1847133757961785,314,0
4,1.3333333333333335,300,0
8,2.666666666666667,300,0
8,2.666666666666667,300,0
2,0.6666666666666667,300,0
4,1.3333333333333335,300,0
4,1.3333333333333335,300,0
6,2.0,300,0
26,8.666666666666668,300,0
2,0.6666666666666667,300,0
6,2.0,300,0
16,5.333333333333334,300,0
2,0.6666666666666667,300,0
8,2.666666666666667,300,0
6,2.0,300,0
8,2.666666666666667,300,0
8,2.666666666666667,300,0
2,0.6666666666666667,300,0
4,1.3333333333333335,300,0
6,2.0,300,0
4,1.3333333333333335,300,0
2,0.6666666666666667,300,0
2,0.6666666666666667,300,0
4,1.3333333333333335,300,0
4,1.3333333333333335,300,0
10,3.3333333333333335,300,0
2,0.6666666666666667,300,0
4,1.3333333333333335,300,0
6,1.7964071856287425,334,0
4,1.1976047904191618,334,0
2,0.5988023952095809,334,0
2,0.5988023952095809,334,0
4,1.1976047904191618,334,0
4,1.1976047904191618,334,0
6,1.7964071856287425,334,0
2,0.5988023952095809,334,0
2,0.5988023952095809,334,0
2,0.5988023952095809,334,0
2,0.5988023952095809,334,0
18,5.389221556886228,334,0
2,0.5988023952095809,334,0
6,1.7964071856287425,334,0
22,6.58682634730539,334,0
30,8.982035928143713,334,0
14,4.191616766467066,334,0
28,8.383233532934131,334,0
6,1.7964071856287425,334,0
2,0.5988023952095809,334,0
6,1.7964071856287425,334,0
14,4.191616766467066,334,0
2,0.5988023952095809,334,0
14,4.191616766467066,334,0
4,1.1976047904191618,334,0
14,4.191616766467066,334,0
8,2.3952095808383236,334,0
6,1.7964071856287425,334,0
6,2.5,240,0
6,2.5,240,0
12,5.0,240,0
8,3.3333333333333335,240,0
4,1.6666666666666667,240,0
14,5.833333333333333,240,0
12,5.0,240,0
18,7.5,240,0
14,5.833333333333333,240,0
6,2.5,240,0
2,0.8333333333333334,240,0
2,0.8333333333333334,240,0
4,1.6666666666666667,240,0
4,1.6666666666666667,240,0
2,0.8333333333333334,240,0
6,2.5,240,0
2,0.8333333333333334,240,0
2,0.8333333333333334,240,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
2,0.8620689655172413,232,0
4,1.7241379310344827,232,0
8,3.4482758620689653,232,0
2,0.8620689655172413,232,0
4,1.7241379310344827,232,0
6,2.586206896551724,232,0
2,0.8620689655172413,232,0
12,5.172413793103448,232,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
4,1.7241379310344827,232,0
10,4.310344827586207,232,0
4,1.7241379310344827,232,0
14,6.0344827586206895,232,0
4,1.7241379310344827,232,0
4,1.7241379310344827,232,0
6,2.586206896551724,232,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
2,0.8620689655172413,232,0
2,0.8620689655172413,232,0
2,0.8620689655172413,232,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
2,0.8620689655172413,232,0
22,10.377358490566039,212,1
4,1.8867924528301887,212,0
8,3.7735849056603774,212,0
2,0.9433962264150944,212,0
10,4.716981132075472,212,0
4,1.8867924528301887,212,0
8,3.7735849056603774,212,0
2,0.9433962264150944,212,0
2,0.9433962264150944,212,0
2,0.9433962264150944,212,0
4,1.8867924528301887,212,0
2,0.9433962264150944,212,0
4,1.8867924528301887,212,0
2,0.9433962264150944,212,0
12,5.660377358490567,212,0
18,8.49056603773585,212,0
6,2.8301886792452833,212,0
2,0.9433962264150944,212,0
2,0.9433962264150944,212,0
4,1.7241379310344827,232,0
2,0.8620689655172413,232,0
10,4.310344827586207,232,0
12,5.172413793103448,232,0
4,1.7241379310344827,232,0
6,2.586206896551724,232,0
4,1.7241379310344827,232,0
24,10.344827586206897,232,1
8,3.4482758620689653,232,0
6,2.586206896551724,232,0
2,0.8620689655172413,232,0
12,5.172413793103448,232,0
4,1.7241379310344827,232,0
8,3.4482758620689653,232,0
2,0.8620689655172413,232,0
28,12.068965517241379,232,1
2,0.8620689655172413,232,0
10,4.310344827586207,232,0
4,1.257861635220126,318,0
6,1.8867924528301887,318,0
4,1.257861635220126,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
6,1.8867924528301887,318,0
8,2.515723270440252,318,0
2,0.628930817610063,318,0
4,1.257861635220126,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
4,1.257861635220126,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
2,0.628930817610063,318,0
4,1.257861635220126,318,0
12,3.7735849056603774,318,0
2,0.628930817610063,318,0
18,5.660377358490567,318,0
6,1.8867924528301887,318,0
2,0.7547169811320755,265,0
3,1.1320754716981132,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
3,1.1320754716981132,265,0
4,1.509433962264151,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
3,1.1320754716981132,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
2,0.7547169811320755,265,0
6,2.2641509433962264,265,0
2,0.7547169811320755,265,0
14,5.283018867924529,265,0
9,3.3962264150943398,265,0
4,1.509433962264151,265,0
3,1.1320754716981132,265,0
12,4.528301886792453,265,0
